,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
532,La Asuncion,99,VE,1580003329,62,11.03,-63.86,87.8,9.17
533,Tessalit,92,ML,1580003329,11,20.2,1.01,71.49,8.68
534,Pemangkat,98,ID,1580003329,73,1.17,108.97,83.23,4.05
535,Torbay,5,CA,1580003330,78,47.67,-52.73,19.99,13.87
537,Nachalovo,90,RU,1580003330,69,46.34,48.2,39.2,24.61
539,Oga,75,IT,1580003330,92,46.46,10.35,26.6,0.92
540,Cockburn Town,0,TC,1580003158,74,21.46,-71.14,76.39,12.33
541,Kirensk,100,RU,1580003330,88,57.79,108.11,20.68,11.61
542,Muromtsevo,100,RU,1580003331,93,56.37,75.24,9.9,10.67
544,Mahibadhoo,100,MV,1580003331,77,3.78,72.97,81.25,11.9
545,Agadir,20,MA,1580003185,93,30.42,-9.6,50.0,4.7
546,Levice,90,SK,1580003331,85,48.22,18.61,33.01,2.24
547,Batticaloa,100,LK,1580003331,78,7.71,81.69,77.14,4.29
548,Tinogboc,78,PH,1580003331,86,12.01,121.41,79.3,14.34
550,Bayir,20,TR,1580003331,84,37.27,28.22,33.8,2.24
553,Bria,77,CF,1580003332,22,6.54,21.99,61.57,6.11
555,Clyde River,1,CA,1580003332,67,70.47,-68.59,-27.4,10.29
557,Iskateley,100,RU,1580003083,100,67.68,53.15,-9.47,6.96
558,Olden,100,NO,1580003332,79,61.84,6.81,46.0,7.0
559,Ust'-Kulom,98,RU,1580003333,98,61.69,53.69,0.41,4.32
560,San Carlos,40,VE,1580003333,57,9.66,-68.58,76.86,3.2
562,Acajutla,0,SV,1580003333,75,13.59,-89.83,73.99,9.13
564,Oranjestad,20,AW,1580003333,74,12.52,-70.03,80.6,10.29
566,Zhuhai,75,CN,1580003052,93,22.28,113.57,60.01,17.22
567,Linqing,100,CN,1580003334,48,36.85,115.71,37.63,6.76
568,Erenhot,0,CN,1580003334,75,43.65,111.98,18.23,7.18
571,Northam,31,GB,1580003334,95,51.03,-4.22,46.0,4.0
572,Araouane,100,ML,1580003334,9,18.9,-3.53,75.78,7.18
573,Anan,75,JP,1580003334,81,33.92,134.65,48.99,5.82
574,Krasnyy Luch,100,UA,1580003334,90,48.14,38.94,31.62,11.21
575,Domna,0,RU,1580003335,75,51.9,113.16,-16.6,2.24
576,Dongsheng,0,CN,1580003335,66,39.82,109.98,22.91,4.18
579,Arlit,0,NE,1580003335,11,18.74,7.39,64.99,8.28
580,Macamic,90,CA,1580003335,97,48.75,-79.0,32.0,9.17
581,Kavaratti,100,IN,1580003335,64,10.57,72.64,80.98,2.28
